precision,recall,threshold
0.594059405940594,1.0,0.02692989
0.5947136563876652,1.0,0.028122501
0.5953693495038589,1.0,0.028213501
0.5960264900662252,1.0,0.028469179
0.5966850828729282,1.0,0.029001163
0.5973451327433629,1.0,0.029229283
0.5980066445182725,1.0,0.029505359
0.5986696230598669,1.0,0.029733712
0.5993340732519423,1.0,0.030393876
0.6,1.0,0.03060121
0.6006674082313682,1.0,0.030857515
0.6013363028953229,1.0,0.03187863
0.6020066889632107,1.0,0.032109216
0.6026785714285714,1.0,0.032731578
0.6033519553072626,1.0,0.03276052
0.6040268456375839,1.0,0.032813963
0.6047032474804032,1.0,0.032958984
0.6053811659192825,1.0,0.033596266
0.6060606060606061,1.0,0.033957206
0.6067415730337079,1.0,0.034033127
0.6074240719910011,1.0,0.034118183
0.6081081081081081,1.0,0.034375258
0.608793686583991,1.0,0.035364058
0.6094808126410836,1.0,0.035403676
0.6101694915254238,1.0,0.03554453
0.6108597285067874,1.0,0.03662287
0.6115515288788222,1.0,0.03675059
0.6122448979591837,1.0,0.03754523
0.6129398410896708,1.0,0.037897564
0.6136363636363636,1.0,0.038069632
0.6143344709897611,1.0,0.03850623
0.6150341685649203,1.0,0.03967228
0.6157354618015963,1.0,0.040655255
0.6164383561643836,1.0,0.040775504
0.6171428571428571,1.0,0.040933643
0.6178489702517163,1.0,0.04165534
0.6185567010309279,1.0,0.042035718
0.6192660550458715,1.0,0.042416282
0.6199770378874856,1.0,0.04282747
0.6206896551724138,1.0,0.04348688
0.6214039125431531,1.0,0.044269267
0.6221198156682027,1.0,0.044281006
0.6228373702422145,1.0,0.04554327
0.6235565819861432,1.0,0.04605665
0.6242774566473989,1.0,0.04840287
0.625,1.0,0.049183633
0.6257242178447276,1.0,0.050106797
0.6264501160092807,1.0,0.050121594
0.627177700348432,1.0,0.05052375
0.627906976744186,1.0,0.051666275
0.6286379511059371,1.0,0.053412266
0.6293706293706294,1.0,0.05349341
0.6301050175029171,1.0,0.05445475
0.6308411214953271,1.0,0.05465471
0.631578947368421,1.0,0.054658182
0.6323185011709602,1.0,0.055682108
0.6330597889800703,1.0,0.05570992
0.6338028169014085,1.0,0.056030273
0.6345475910693302,1.0,0.056074373
0.6352941176470588,1.0,0.056854248
0.6360424028268551,1.0,0.057172634
0.6367924528301887,1.0,0.05734623
0.6375442739079102,1.0,0.057613444
0.6382978723404256,1.0,0.058080427
0.6390532544378699,1.0,0.05834961
0.6398104265402843,1.0,0.05959824
0.6405693950177936,1.0,0.05965334
0.6413301662707839,1.0,0.05975702
0.6420927467300832,1.0,0.06031015
0.6428571428571429,1.0,0.061822057
0.6436233611442194,1.0,0.06287421
0.6443914081145584,1.0,0.06314714
0.6451612903225806,1.0,0.06467396
0.645933014354067,1.0,0.06599426
0.6467065868263473,1.0,0.06682146
0.6474820143884892,1.0,0.06683403
0.6482593037214885,1.0,0.067231126
